id,score,date,period,doc_dist,title,top2vec
1288730434,1.0,1959-12-18,5,0.29381415,Refugees Could Be Valuable Assets.,0
2121470325,1.0,2015-09-26,8,0.1999186,Changing the temporary mindset of refugees.,3
2122191647,1.0,2015-08-29,8,0.35575867,Refugee crisis.,3
1942851684,1.0,2014-11-01,8,0.27237716,Our world is not awash in refugees: Open the gates.,3
1125693800,1.0,2001-09-04,7,0.14456289,Time for a fresh look at the state of refuge.,0
1237580634,1.0,1984-09-27,7,0.1594319,A failure of humanity.,11
1288727537,1.0,1959-12-17,5,0.26924634,Our Responsibility to the Refugees.,0
2610146759,1.0,2018-07-23,8,0.17043051,The refugee issue is dangerous politics.,1
1444926563,1.0,2010-08-24,8,0.14295723,"Immigrants, refugees.",0
1239623546,1.0,1974-01-24,6,0.17793442,A set of new questions.,6
2122071974,1.0,2015-11-19,8,0.28616726,The refugee discussion is just beginning.,3
1151111154,1.0,1991-03-12,7,0.17912737,Refugee rights.,4
1143646857,1.0,1997-09-02,7,0.20781665,Refugees and immigration.,0
1411743496,1.0,2008-04-01,8,0.17364642,IRAQI REFUGEES.,3
2122118681,1.0,2015-10-09,8,0.17079079,Tories apply specific criteria for refugees.,1
1151469353,1.0,1986-08-21,7,0.28338972,"Still, a sanctuary.",11
1143820246,1.0,1986-04-09,7,0.26284605,Refugees 'have right' to fairness and justice.,2
1241441332,1.0,1977-07-22,7,0.32011032,"Broaden definition of refugee in immigration bill, MPs urge.",8
2122233368,1.0,2015-12-09,8,0.2576208,"Distinct societies: Why Canada, U.S. diverge on refugees.",1
1125755311,1.0,2001-04-03,7,0.18731439,Refugees fight terrorist label in Canada.,9
2459956848,1.0,2017-02-27,8,0.22356151,Tolerance for refugees has limits--even in Canada.,1
1237498839,1.0,1984-05-07,7,0.12663043,"Canada flexible on refugees, minister says.",2
1811408353,1.0,2013-09-04,8,0.21740253,Federal government examined limiting number of refugees with health problems.,15
1237170136,1.0,1989-05-12,7,0.15108979,Shrinking refugee rights.,1
1238331892,1.0,1988-07-22,7,0.43986836,Court battle pledged as refugee legislation receives royal assent.,8
1151514080,1.0,1992-05-22,7,0.2727475,Fewer claimants given refugee status.,2
1238550274,1.0,1987-10-26,7,0.36278403,Right of refugees to seek asylum is beina eroded conference told.,8
1238331414,1.0,1988-07-21,7,0.2151749,"Many migrants not in danger, study says.",6
2121472160,1.0,2015-09-12,8,0.27419093,TALKING POINT.,3
1356972692,1.0,2002-05-01,8,0.40538153,"Ban refugees from U.S., Alliance says.",7
2273266097,1.0,2016-02-03,8,0.30081344,"Refugees no danger, U.S. told.",3
2121472545,1.0,2015-10-10,8,0.19826269,Harper defends how refugees processed.,3
1125496214,1.0,2001-12-06,7,0.20270275,The Power Game.,7
